city,crime_type,location_type,latitude,longitude,month
London,anti-social-behaviour,Force,51.498335,-0.131193,2024-12
London,anti-social-behaviour,Force,51.505618,-0.148735,2024-12
London,anti-social-behaviour,Force,51.517596,-0.135680,2024-12
London,anti-social-behaviour,Force,51.510729,-0.135283,2024-12
London,anti-social-behaviour,Force,51.504507,-0.110609,2024-12
London,anti-social-behaviour,Force,51.496949,-0.135630,2024-12
London,anti-social-behaviour,Force,51.509962,-0.137952,2024-12
London,anti-social-behaviour,Force,51.506270,-0.137627,2024-12
London,anti-social-behaviour,Force,51.500978,-0.125524,2024-12
London,anti-social-behaviour,Force,51.516001,-0.122471,2024-12
London,anti-social-behaviour,Force,51.512166,-0.123818,2024-12
London,anti-social-behaviour,Force,51.513205,-0.124229,2024-12
London,anti-social-behaviour,Force,51.510623,-0.126987,2024-12
London,anti-social-behaviour,Force,51.510642,-0.149698,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.514064,-0.118890,2024-12
London,anti-social-behaviour,Force,51.515088,-0.140222,2024-12
London,anti-social-behaviour,Force,51.504507,-0.110609,2024-12
London,anti-social-behaviour,Force,51.516275,-0.126121,2024-12
London,anti-social-behaviour,Force,51.510042,-0.120439,2024-12
London,anti-social-behaviour,Force,51.502888,-0.117319,2024-12
London,anti-social-behaviour,Force,51.503196,-0.127032,2024-12
London,anti-social-behaviour,Force,51.521458,-0.130305,2024-12
London,anti-social-behaviour,Force,51.514064,-0.118890,2024-12
London,anti-social-behaviour,Force,51.506342,-0.125794,2024-12
London,anti-social-behaviour,Force,51.512078,-0.141526,2024-12
London,anti-social-behaviour,Force,51.514684,-0.140844,2024-12
London,anti-social-behaviour,Force,51.511783,-0.129778,2024-12
London,anti-social-behaviour,Force,51.498053,-0.129879,2024-12
London,anti-social-behaviour,Force,51.513370,-0.138519,2024-12
London,anti-social-behaviour,Force,51.515684,-0.135874,2024-12
London,anti-social-behaviour,Force,51.517741,-0.143126,2024-12
London,anti-social-behaviour,Force,51.514209,-0.137000,2024-12
London,anti-social-behaviour,Force,51.507970,-0.133162,2024-12
London,anti-social-behaviour,Force,51.496466,-0.141499,2024-12
London,anti-social-behaviour,Force,51.512855,-0.124820,2024-12
London,anti-social-behaviour,Force,51.515449,-0.123373,2024-12
London,anti-social-behaviour,Force,51.509491,-0.125924,2024-12
London,anti-social-behaviour,Force,51.510266,-0.139006,2024-12
London,anti-social-behaviour,Force,51.507394,-0.128042,2024-12
London,anti-social-behaviour,Force,51.510520,-0.137439,2024-12
London,anti-social-behaviour,Force,51.512300,-0.128388,2024-12
London,anti-social-behaviour,Force,51.495129,-0.138240,2024-12
London,anti-social-behaviour,Force,51.507938,-0.128898,2024-12
London,anti-social-behaviour,Force,51.515088,-0.140222,2024-12
London,anti-social-behaviour,Force,51.510373,-0.120887,2024-12
London,anti-social-behaviour,Force,51.519697,-0.134917,2024-12
London,anti-social-behaviour,Force,51.516623,-0.132976,2024-12
London,anti-social-behaviour,Force,51.509158,-0.134930,2024-12
London,anti-social-behaviour,Force,51.507284,-0.147168,2024-12
London,anti-social-behaviour,Force,51.514537,-0.128196,2024-12
London,anti-social-behaviour,Force,51.511783,-0.129778,2024-12
London,anti-social-behaviour,Force,51.502888,-0.117319,2024-12
London,anti-social-behaviour,Force,51.515939,-0.132693,2024-12
London,anti-social-behaviour,Force,51.511312,-0.136326,2024-12
London,anti-social-behaviour,Force,51.499488,-0.118410,2024-12
London,anti-social-behaviour,Force,51.513827,-0.142363,2024-12
London,anti-social-behaviour,Force,51.514012,-0.131078,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.512495,-0.138915,2024-12
London,anti-social-behaviour,Force,51.517996,-0.135361,2024-12
London,anti-social-behaviour,Force,51.510152,-0.132382,2024-12
London,anti-social-behaviour,Force,51.515753,-0.143092,2024-12
London,anti-social-behaviour,Force,51.515939,-0.132693,2024-12
London,anti-social-behaviour,Force,51.510642,-0.149698,2024-12
London,anti-social-behaviour,Force,51.513575,-0.142373,2024-12
London,anti-social-behaviour,Force,51.510295,-0.132318,2024-12
London,anti-social-behaviour,Force,51.511312,-0.136326,2024-12
London,anti-social-behaviour,Force,51.498284,-0.110074,2024-12
London,anti-social-behaviour,Force,51.498284,-0.110074,2024-12
London,anti-social-behaviour,Force,51.518845,-0.139550,2024-12
London,anti-social-behaviour,Force,51.500396,-0.111082,2024-12
London,anti-social-behaviour,Force,51.511022,-0.119880,2024-12
London,anti-social-behaviour,Force,51.519092,-0.122330,2024-12
London,anti-social-behaviour,Force,51.496508,-0.139610,2024-12
London,anti-social-behaviour,Force,51.510468,-0.130769,2024-12
London,anti-social-behaviour,Force,51.515430,-0.122797,2024-12
London,anti-social-behaviour,Force,51.514112,-0.133690,2024-12
London,anti-social-behaviour,Force,51.501162,-0.116252,2024-12
London,anti-social-behaviour,Force,51.514369,-0.121645,2024-12
London,anti-social-behaviour,Force,51.509496,-0.148318,2024-12
London,anti-social-behaviour,Force,51.513970,-0.134387,2024-12
London,anti-social-behaviour,Force,51.513019,-0.130592,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.497497,-0.133922,2024-12
London,anti-social-behaviour,Force,51.501941,-0.112127,2024-12
London,anti-social-behaviour,Force,51.515088,-0.140222,2024-12
London,anti-social-behaviour,Force,51.506236,-0.141322,2024-12
London,anti-social-behaviour,Force,51.506736,-0.126800,2024-12
London,anti-social-behaviour,Force,51.511012,-0.145792,2024-12
London,anti-social-behaviour,Force,51.513052,-0.132681,2024-12
London,anti-social-behaviour,Force,51.513575,-0.142373,2024-12
London,anti-social-behaviour,Force,51.503496,-0.106473,2024-12
London,anti-social-behaviour,Force,51.503196,-0.127032,2024-12
London,anti-social-behaviour,Force,51.507623,-0.130006,2024-12
London,anti-social-behaviour,Force,51.502888,-0.117319,2024-12
London,anti-social-behaviour,Force,51.500253,-0.126317,2024-12
London,anti-social-behaviour,Force,51.516341,-0.120151,2024-12
London,anti-social-behaviour,Force,51.514369,-0.121645,2024-12
London,anti-social-behaviour,Force,51.516618,-0.139226,2024-12
London,anti-social-behaviour,Force,51.495591,-0.136794,2024-12
London,anti-social-behaviour,Force,51.512802,-0.123770,2024-12
London,anti-social-behaviour,Force,51.514369,-0.121645,2024-12
London,anti-social-behaviour,Force,51.514684,-0.140844,2024-12
London,anti-social-behaviour,Force,51.517701,-0.127014,2024-12
London,anti-social-behaviour,Force,51.513205,-0.124229,2024-12
London,anti-social-behaviour,Force,51.503196,-0.127032,2024-12
London,anti-social-behaviour,Force,51.511925,-0.136431,2024-12
London,anti-social-behaviour,Force,51.504066,-0.110037,2024-12
London,anti-social-behaviour,Force,51.512300,-0.128388,2024-12
London,anti-social-behaviour,Force,51.518106,-0.116951,2024-12
London,anti-social-behaviour,Force,51.513052,-0.132681,2024-12
London,anti-social-behaviour,Force,51.515684,-0.135874,2024-12
London,anti-social-behaviour,Force,51.514112,-0.133690,2024-12
London,anti-social-behaviour,Force,51.507097,-0.130864,2024-12
London,anti-social-behaviour,Force,51.516488,-0.145743,2024-12
London,anti-social-behaviour,Force,51.499046,-0.142561,2024-12
London,anti-social-behaviour,Force,51.499046,-0.142561,2024-12
London,anti-social-behaviour,Force,51.498553,-0.135291,2024-12
London,anti-social-behaviour,Force,51.513046,-0.122679,2024-12
London,anti-social-behaviour,Force,51.510520,-0.137439,2024-12
London,anti-social-behaviour,Force,51.515449,-0.123373,2024-12
London,anti-social-behaviour,Force,51.516178,-0.131904,2024-12
London,anti-social-behaviour,Force,51.511574,-0.126271,2024-12
London,anti-social-behaviour,Force,51.515939,-0.132693,2024-12
London,anti-social-behaviour,Force,51.509786,-0.124658,2024-12
London,anti-social-behaviour,Force,51.510942,-0.131196,2024-12
London,anti-social-behaviour,Force,51.515753,-0.143092,2024-12
London,anti-social-behaviour,Force,51.519933,-0.133899,2024-12
London,anti-social-behaviour,Force,51.514684,-0.140844,2024-12
London,anti-social-behaviour,Force,51.513205,-0.124229,2024-12
London,anti-social-behaviour,Force,51.506855,-0.128078,2024-12
London,anti-social-behaviour,Force,51.509458,-0.132280,2024-12
London,anti-social-behaviour,Force,51.513753,-0.125331,2024-12
London,anti-social-behaviour,Force,51.500978,-0.125524,2024-12
London,anti-social-behaviour,Force,51.493939,-0.129039,2024-12
London,anti-social-behaviour,Force,51.506541,-0.144533,2024-12
London,anti-social-behaviour,Force,51.495936,-0.141491,2024-12
London,anti-social-behaviour,Force,51.514537,-0.128196,2024-12
London,anti-social-behaviour,Force,51.512408,-0.119910,2024-12
London,anti-social-behaviour,Force,51.511790,-0.132459,2024-12
London,anti-social-behaviour,Force,51.517845,-0.121977,2024-12
London,anti-social-behaviour,Force,51.517741,-0.143126,2024-12
London,anti-social-behaviour,Force,51.507394,-0.128042,2024-12
London,anti-social-behaviour,Force,51.507623,-0.130006,2024-12
London,anti-social-behaviour,Force,51.499042,-0.111930,2024-12
London,anti-social-behaviour,Force,51.508087,-0.124122,2024-12
London,anti-social-behaviour,Force,51.515869,-0.121554,2024-12
London,anti-social-behaviour,Force,51.497024,-0.112777,2024-12
London,anti-social-behaviour,Force,51.518744,-0.118596,2024-12
London,anti-social-behaviour,Force,51.518897,-0.116904,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.507623,-0.130006,2024-12
London,anti-social-behaviour,Force,51.517741,-0.143126,2024-12
London,anti-social-behaviour,Force,51.506632,-0.127640,2024-12
London,anti-social-behaviour,Force,51.514365,-0.143408,2024-12
London,anti-social-behaviour,Force,51.518405,-0.119302,2024-12
London,anti-social-behaviour,Force,51.496238,-0.127130,2024-12
London,anti-social-behaviour,Force,51.509097,-0.146936,2024-12
London,anti-social-behaviour,Force,51.512408,-0.119910,2024-12
London,anti-social-behaviour,Force,51.507970,-0.133162,2024-12
London,anti-social-behaviour,Force,51.509496,-0.148318,2024-12
London,anti-social-behaviour,Force,51.513575,-0.142373,2024-12
London,anti-social-behaviour,Force,51.515449,-0.123373,2024-12
London,anti-social-behaviour,Force,51.517742,-0.125614,2024-12
London,anti-social-behaviour,Force,51.498335,-0.131193,2024-12
London,anti-social-behaviour,Force,51.501162,-0.116252,2024-12
London,anti-social-behaviour,Force,51.510295,-0.132318,2024-12
London,anti-social-behaviour,Force,51.514582,-0.125441,2024-12
London,anti-social-behaviour,Force,51.498553,-0.135291,2024-12
London,anti-social-behaviour,Force,51.508450,-0.143266,2024-12
London,anti-social-behaviour,Force,51.511137,-0.125914,2024-12
London,anti-social-behaviour,Force,51.519092,-0.122330,2024-12
London,anti-social-behaviour,Force,51.516668,-0.141210,2024-12
London,anti-social-behaviour,Force,51.517858,-0.130120,2024-12
London,anti-social-behaviour,Force,51.509396,-0.130626,2024-12
